2026-07-27T10:40:44 | train_stage2 | INFO | Step 5 | Tokens 0.0M | Val Loss: 9.8151 | PP: 18307.56
2026-07-27T10:40:44 | train_stage2 | INFO | Iso-loss band 10.0 crossed! (Prev: inf, Curr: 9.8151)
2026-07-27T10:40:44 | train_stage2 | INFO | Interpolated crossing step: 5
2026-07-27T10:40:44 | train_stage2 | INFO | Saving snapshot to: /home/Debz/HyperloopBert/Codes/models/dry_run/stage2/iso_band_models/LoopedBERT_tiny_seed42/band_10p00
2026-07-27T10:40:44 | train_stage2 | INFO | Checkpoint written at optimizer step 5.
2026-07-27T10:40:44 | train_stage2 | INFO | Finished LoopedBERT_tiny_seed42: 0.1M tokens, bands crossed: [10.0]
2026-07-27T10:40:45 | train_stage2 | INFO | --- Starting training for ALBERTLoopedBERT_tiny_seed42 ---
2026-07-27T10:40:45 | train_stage2 | INFO | Model specs: {'Unique_Parameters': 8901178, 'Total_Parameters': 8901178, 'Effective_Depth': 12, 'Hidden_Size': 256, 'Shared_Ratio': 0.9166666666666666}
2026-07-27T10:40:45 | train_stage2 | INFO | Active attention path: flash
2026-07-27T10:40:46 | train_stage2 | INFO | Step 5 | Tokens 0.0M | Val Loss: 9.8229 | PP: 18451.27
2026-07-27T10:40:46 | train_stage2 | INFO | Iso-loss band 10.0 crossed! (Prev: inf, Curr: 9.8229)
2026-07-27T10:40:46 | train_stage2 | INFO | Interpolated crossing step: 5
2026-07-27T10:40:46 | train_stage2 | INFO | Saving snapshot to: /home/Debz/HyperloopBert/Codes/models/dry_run/stage2/iso_band_models/ALBERTLoopedBERT_tiny_seed42/band_10p00
2026-07-27T10:40:47 | train_stage2 | INFO | Checkpoint written at optimizer step 5.
2026-07-27T10:40:47 | train_stage2 | INFO | Finished ALBERTLoopedBERT_tiny_seed42: 0.1M tokens, bands crossed: [10.0]
2026-07-27T10:40:47 | train_stage2 | INFO | --- Starting training for VanillaBERT6_tiny_seed42 ---
2026-07-27T10:40:47 | train_stage2 | INFO | Model specs: {'Unique_Parameters': 12846906, 'Total_Parameters': 12846906, 'Effective_Depth': 6, 'Hidden_Size': 256, 'Shared_Ratio': 0.0}
2026-07-27T10:40:47 | train_stage2 | INFO | Active attention path: flash
2026-07-27T10:40:48 | train_stage2 | INFO | Step 5 | Tokens 0.0M | Val Loss: 9.7687 | PP: 17477.86
2026-07-27T10:40:48 | train_stage2 | INFO | Iso-loss band 10.0 crossed! (Prev: inf, Curr: 9.7687)
2026-07-27T10:40:48 | train_stage2 | INFO | Interpolated crossing step: 5
2026-07-27T10:40:48 | train_stage2 | INFO | Saving snapshot to: /home/Debz/HyperloopBert/Codes/models/dry_run/stage2/iso_band_models/VanillaBERT6_tiny_seed42/band_10p00
2026-07-27T10:40:49 | train_stage2 | INFO | Checkpoint written at optimizer step 5.
2026-07-27T10:40:49 | train_stage2 | INFO | Finished VanillaBERT6_tiny_seed42: 0.1M tokens, bands crossed: [10.0]
