Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Dataset,Category,Loop_Depth,Mean_Preference_Rate,Std_Preference_Rate,Mean_Effect_Size,Trajectory_Shape,Timestamp
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,2,3,0.5526315789473685,0.5038966228735666,0.038768155483849466,OSCILLATING,2026-07-27T10:41:19.061969Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,3,3,0.42857142857142855,0.5345224838248487,0.01223537224490607,CONVERGENT,2026-07-27T10:41:19.062175Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,4,3,0.3333333333333333,0.48154341234307685,-0.11094455983903669,CONVERGENT,2026-07-27T10:41:19.062410Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,5,3,0.75,0.45226701686664544,0.2841339721175804,OSCILLATING,2026-07-27T10:41:19.062636Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,6,3,0.3333333333333333,0.5163977794943223,-0.11810836791992181,OSCILLATING,2026-07-27T10:41:19.062840Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,7,3,0.42857142857142855,0.5135525910130955,-0.10807897214005166,OSCILLATING,2026-07-27T10:41:19.063042Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,8,3,0.4444444444444444,0.5270462766947299,0.046865366123340614,OSCILLATING,2026-07-27T10:41:19.063256Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,ALL,4,0.5656565656565656,0.4969269249736624,0.04815619296569138,OSCILLATING,2026-07-27T10:41:19.064014Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,0,4,0.7164179104477612,0.4541382164873988,0.10264827046556523,OSCILLATING,2026-07-27T10:41:19.064701Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,1,4,0.7619047619047619,0.4364357804719847,0.14336134517003624,OSCILLATING,2026-07-27T10:41:19.064939Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,2,4,0.4473684210526316,0.5038966228735666,0.03910884888899141,OSCILLATING,2026-07-27T10:41:19.065152Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,3,4,0.2857142857142857,0.48795003647426666,-0.03169475931699596,CONVERGENT,2026-07-27T10:41:19.065368Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,4,4,0.2916666666666667,0.4643056214875365,-0.14602108399073285,CONVERGENT,2026-07-27T10:41:19.065599Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,5,4,0.75,0.45226701686664544,0.3010249187711052,OSCILLATING,2026-07-27T10:41:19.065802Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,6,4,0.5,0.5477225575051661,-0.09162184397379569,OSCILLATING,2026-07-27T10:41:19.066000Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,7,4,0.42857142857142855,0.5135525910130955,-0.10335426940057513,OSCILLATING,2026-07-27T10:41:19.066209Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,8,4,0.4444444444444444,0.5270462766947299,0.03016985787285699,OSCILLATING,2026-07-27T10:41:19.066429Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,ALL,5,0.5858585858585859,0.4938217481914122,0.03629949217637142,OSCILLATING,2026-07-27T10:41:19.067170Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,0,5,0.6865671641791045,0.4673897609088611,0.06525827607228271,OSCILLATING,2026-07-27T10:41:19.067863Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,1,5,0.8571428571428571,0.358568582800318,0.1694185090443445,OSCILLATING,2026-07-27T10:41:19.068089Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,2,5,0.47368421052631576,0.506009406240056,0.04141440887611691,OSCILLATING,2026-07-27T10:41:19.068316Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,3,5,0.2857142857142857,0.48795003647426666,-0.06626099956278912,CONVERGENT,2026-07-27T10:41:19.068549Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,4,5,0.2916666666666667,0.4643056214875365,-0.17449304527706566,CONVERGENT,2026-07-27T10:41:19.068759Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,5,5,0.75,0.45226701686664544,0.2902422064667814,OSCILLATING,2026-07-27T10:41:19.068970Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,6,5,0.6666666666666666,0.5163977794943223,-0.06248013178507487,OSCILLATING,2026-07-27T10:41:19.069170Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,7,5,0.5,0.5188745216627708,-0.07404753259548855,OSCILLATING,2026-07-27T10:41:19.069416Z
