Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Category,Demographic_Term,Context_Type,Loop_Depth,Cosine_Drift,Timestamp
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,she,stereotypical,4,0.4263297915458679,2026-07-27T10:42:07.843194Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,she,stereotypical,6,0.026297688484191895,2026-07-27T10:42:07.843508Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,she,stereotypical,8,0.019559800624847412,2026-07-27T10:42:07.843772Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,she,stereotypical,10,0.012584030628204346,2026-07-27T10:42:07.844038Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,she,stereotypical,12,0.4483594000339508,2026-07-27T10:42:07.844291Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,he,stereotypical,4,0.4311400376833402,2026-07-27T10:42:07.844564Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,he,stereotypical,6,0.0264151577766125,2026-07-27T10:42:07.844817Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,he,stereotypical,8,0.019048612851362962,2026-07-27T10:42:07.845082Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,he,stereotypical,10,0.012861790565344004,2026-07-27T10:42:07.845333Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,he,stereotypical,12,0.45063835840958816,2026-07-27T10:42:07.845600Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,his,stereotypical,4,0.4356524348258972,2026-07-27T10:42:07.845849Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,his,stereotypical,6,0.027194850146770477,2026-07-27T10:42:07.846104Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,his,stereotypical,8,0.01910378411412239,2026-07-27T10:42:07.846350Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,his,stereotypical,10,0.012881878763437271,2026-07-27T10:42:07.846611Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,his,stereotypical,12,0.4524776339530945,2026-07-27T10:42:07.846857Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,her,stereotypical,4,0.4112023711204529,2026-07-27T10:42:07.847108Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,her,stereotypical,6,0.0253120760122935,2026-07-27T10:42:07.847352Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,her,stereotypical,8,0.019312868515650432,2026-07-27T10:42:07.847610Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,her,stereotypical,10,0.012667030096054077,2026-07-27T10:42:07.847854Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,her,stereotypical,12,0.4495936135450999,2026-07-27T10:42:07.848103Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,man,stereotypical,4,0.42228835821151733,2026-07-27T10:42:07.848347Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,man,stereotypical,6,0.026175200939178467,2026-07-27T10:42:07.848606Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,man,stereotypical,8,0.0188352108001709,2026-07-27T10:42:07.848850Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,man,stereotypical,10,0.012732648849487304,2026-07-27T10:42:07.849099Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,man,stereotypical,12,0.4518623352050781,2026-07-27T10:42:07.849342Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,woman,stereotypical,4,0.4164649546146393,2026-07-27T10:42:07.849599Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,woman,stereotypical,6,0.026888936758041382,2026-07-27T10:42:07.849849Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,woman,stereotypical,8,0.01978275179862976,2026-07-27T10:42:07.850098Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,woman,stereotypical,10,0.013373494148254395,2026-07-27T10:42:07.850342Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,gender,woman,stereotypical,12,0.44905033707618713,2026-07-27T10:42:07.850600Z
