Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Loop_Pair,CKA,Timestamp
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,2-4,0.8443687794993247,2026-07-27T10:42:07.230994Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,2-6,0.8024413692385558,2026-07-27T10:42:07.232994Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,2-8,0.7449383749434783,2026-07-27T10:42:07.234950Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,2-10,0.7232843095854722,2026-07-27T10:42:07.236872Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,2-12,0.7808997829918153,2026-07-27T10:42:07.238725Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,4-6,0.935507270534119,2026-07-27T10:42:07.240678Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,4-8,0.8946358723701269,2026-07-27T10:42:07.242556Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,4-10,0.8633834654039889,2026-07-27T10:42:07.244353Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,4-12,0.7887108906937975,2026-07-27T10:42:07.246224Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,6-8,0.9289253235720168,2026-07-27T10:42:07.248092Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,6-10,0.9009442571452456,2026-07-27T10:42:07.249902Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,6-12,0.755860057611262,2026-07-27T10:42:07.251710Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,8-10,0.923426882194528,2026-07-27T10:42:07.253551Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,8-12,0.7234194992374794,2026-07-27T10:42:07.255385Z
stage3,HyperloopBERT,tiny,256,42,14950459,14950459,12,0.5,10-12,0.7050772355788747,2026-07-27T10:42:07.257272Z
