Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Stream_Count,Merge_At,Validation_Loss,Pseudo_Perplexity,Mask_Accuracy,Tokens_Processed,Tokens_Per_Second,GPU_Hours,Token_Marker,Band,Timestamp
stage1,VanillaBERT,tiny,256,42,17585466,17585466,12,0.0,,,9.81892603545282,18378.302493195417,0.0368763557483731,30901,18688.696965917345,0.00045929425292544893,25000,,2026-07-27T10:40:30.380626Z
stage1,VanillaBERT,tiny,256,42,17585466,17585466,12,0.0,,,9.778556509286876,17651.155176034837,0.0368763557483731,39002,19622.141803486436,0.0005521257056130303,,10.0,2026-07-27T10:40:30.801765Z
stage1,LoopedBERT,tiny,256,42,12847930,12847930,12,0.5,,,9.85654487527115,19082.841801139923,0.0368763557483731,30901,24067.706929557567,0.00035664432578616674,25000,,2026-07-27T10:40:33.212351Z
stage1,LoopedBERT,tiny,256,42,12847930,12847930,12,0.5,,,9.815069566838394,18307.56363520787,0.0368763557483731,39002,24309.7291091875,0.0004456606176164415,,10.0,2026-07-27T10:40:33.590093Z
