Contrast,Metric,Dataset,Band,Model_Size,Mean_Delta,P_Value,CI_Low,CI_High,Cohens_D,N_Items,Preference_Rate_Delta,Holm_Corrected_P_Value,Significant
VanillaBERT_vs_HyperloopBERT,Effect_Size (item-level),Multi-CrowS-Pairs,2.2,base,0.02411444274101426,0.00019998000199980003,0.011942270280739123,0.036336846194985145,0.0977452790346841,1508,0.0006631299734748408,0.00039996000399960006,True
VanillaBERT_vs_LoopedBERT,Effect_Size (item-level),Multi-CrowS-Pairs,2.2,base,0.023662462019754887,9.999000099990002e-05,0.0134526911019857,0.03386565141471749,0.11454959676861014,1508,0.003978779840848823,0.00029997000299970003,True
LoopedBERT_vs_HyperloopBERT,Effect_Size (item-level),Multi-CrowS-Pairs,2.2,base,0.0004519807212593672,0.4667533246675332,-0.010883331686884727,0.01098997998081797,0.0020373554676454647,1508,-0.003315649867373982,0.4667533246675332,False
