Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Loop_Index,Projection,Stream_Index,Block_Frobenius_Norm,Block_Deviation_From_Init,Matrix_Spectral_Norm,Timestamp
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,0,depth_proj,0,15.377970695495605,13.742600440979004,3.4799704551696777,2026-07-29T01:51:05.254131Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,0,depth_proj,1,15.372776985168457,13.747845649719238,3.4799704551696777,2026-07-29T01:51:05.380096Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,0,depth_proj,2,15.379528999328613,13.750545501708984,3.4799704551696777,2026-07-29T01:51:05.468067Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,0,depth_proj,3,15.385530471801758,13.749945640563965,3.4799704551696777,2026-07-29T01:51:05.572058Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,0,width_proj,0,17.851825714111328,13.11654281616211,4.444881916046143,2026-07-29T01:53:07.119921Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,0,width_proj,1,17.69921875,13.055720329284668,4.444881916046143,2026-07-29T01:53:07.155267Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,0,width_proj,2,17.803281784057617,13.051701545715332,4.444881916046143,2026-07-29T01:53:07.252137Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,0,width_proj,3,19.12040901184082,13.978853225708008,4.444881916046143,2026-07-29T01:53:07.285651Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,1,depth_proj,0,15.78737735748291,13.833468437194824,3.2004196643829346,2026-07-29T01:55:11.623941Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,1,depth_proj,1,15.815696716308594,13.886009216308594,3.2004196643829346,2026-07-29T01:55:11.730108Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,1,depth_proj,2,15.895757675170898,13.93757152557373,3.2004196643829346,2026-07-29T01:55:11.834751Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,1,depth_proj,3,16.450761795043945,14.45792007446289,3.2004196643829346,2026-07-29T01:55:11.942188Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,1,width_proj,0,18.641490936279297,13.308545112609863,3.6683881282806396,2026-07-29T01:56:57.605149Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,1,width_proj,1,18.45064353942871,13.06886100769043,3.6683881282806396,2026-07-29T01:56:57.634319Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,1,width_proj,2,18.810230255126953,13.437010765075684,3.6683881282806396,2026-07-29T01:56:57.660061Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,1,width_proj,3,21.043630599975586,15.536505699157715,3.6683881282806396,2026-07-29T01:56:57.693211Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2,depth_proj,0,16.100244522094727,13.890287399291992,3.3653666973114014,2026-07-29T01:59:10.893754Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2,depth_proj,1,16.17562484741211,13.973539352416992,3.3653666973114014,2026-07-29T01:59:11.023179Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2,depth_proj,2,16.178625106811523,13.976452827453613,3.3653666973114014,2026-07-29T01:59:11.137086Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2,depth_proj,3,16.752614974975586,14.488856315612793,3.3653666973114014,2026-07-29T01:59:11.286112Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2,width_proj,0,19.481124877929688,14.20294189453125,4.146468639373779,2026-07-29T02:01:31.423038Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2,width_proj,1,19.573200225830078,14.22695255279541,4.146468639373779,2026-07-29T02:01:31.449106Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2,width_proj,2,19.58591079711914,14.324850082397461,4.146468639373779,2026-07-29T02:01:31.494011Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2,width_proj,3,18.840085983276367,13.293240547180176,4.146468639373779,2026-07-29T02:01:31.517676Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,3,depth_proj,0,15.995440483093262,14.071914672851562,4.309177398681641,2026-07-29T02:04:35.686151Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,3,depth_proj,1,16.013586044311523,14.082141876220703,4.309177398681641,2026-07-29T02:04:35.771847Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,3,depth_proj,2,15.971875190734863,14.053936958312988,4.309177398681641,2026-07-29T02:04:35.888090Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,3,depth_proj,3,16.157669067382812,14.237879753112793,4.309177398681641,2026-07-29T02:04:35.997302Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,3,width_proj,0,18.071577072143555,13.859299659729004,4.3092041015625,2026-07-29T02:06:52.132241Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,3,width_proj,1,18.184762954711914,13.950325965881348,4.3092041015625,2026-07-29T02:06:52.165027Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,3,width_proj,2,18.224185943603516,13.87231731414795,4.3092041015625,2026-07-29T02:06:52.187791Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,3,width_proj,3,16.268295288085938,10.518858909606934,4.3092041015625,2026-07-29T02:06:52.214989Z
