Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Dataset,Category,Loop_Depth,Mean_Preference_Rate,Std_Preference_Rate,Mean_Effect_Size,Trajectory_Shape,Timestamp
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,Multi-CrowS-Pairs,ALL,3,0.51010101010101,0.5011651296799252,0.1025388172133572,AMPLIFYING,2026-07-29T02:07:55.766642Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,Multi-CrowS-Pairs,0,3,0.4626865671641791,0.5023688795899496,0.22455176751810127,OSCILLATING,2026-07-29T02:07:55.767726Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,Multi-CrowS-Pairs,1,3,0.8095238095238095,0.40237390808147827,0.8901547742268393,OSCILLATING,2026-07-29T02:07:55.767964Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,Multi-CrowS-Pairs,2,3,0.39473684210526316,0.49535538344028496,-0.4959203038036245,OSCILLATING,2026-07-29T02:07:55.768173Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,Multi-CrowS-Pairs,3,3,0.8571428571428571,0.37796447300922725,1.2829843163490295,OSCILLATING,2026-07-29T02:07:55.768369Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,Multi-CrowS-Pairs,4,3,0.4583333333333333,0.5089773777040516,0.259712920586268,OSCILLATING,2026-07-29T02:07:55.768563Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,Multi-CrowS-Pairs,5,3,0.75,0.45226701686664544,0.17830245468675776,AMPLIFYING,2026-07-29T02:07:55.768748Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,Multi-CrowS-Pairs,6,3,0.5,0.5477225575051661,0.27667164802551286,OSCILLATING,2026-07-29T02:07:55.768970Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,Multi-CrowS-Pairs,7,3,0.35714285714285715,0.4972451580988468,-0.6805254848379837,OSCILLATING,2026-07-29T02:07:55.769164Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,Multi-CrowS-Pairs,8,3,0.4444444444444444,0.5270462766947299,-0.4529849105411104,OSCILLATING,2026-07-29T02:07:55.769344Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,Multi-CrowS-Pairs,ALL,6,0.5050505050505051,0.5012418562445881,0.11381041427340577,AMPLIFYING,2026-07-29T02:07:55.770212Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,Multi-CrowS-Pairs,0,6,0.47761194029850745,0.5032683769612477,0.2083335334248376,OSCILLATING,2026-07-29T02:07:55.770937Z
