Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Loop_Depth,Stream_Disagreement,Effect_Size,Pearson_R,Pearson_P,Spearman_R,Spearman_P,Timestamp
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,0,0.0,0.10091855557954042,0.036027938619465336,0.7219414058338242,0.11880589195537179,0.23907696965761063,2026-07-29T02:06:57.296675Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,1,0.06017156183719635,0.10091855557954042,-0.10992094718526489,0.27628947946387206,-0.08574857485748574,0.39628824161493814,2026-07-29T02:06:57.300401Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2,0.19382346510887147,0.10091855557954042,-0.15850153569310801,0.11524213278760992,-0.16246024602460246,0.1063269089109442,2026-07-29T02:06:57.303700Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,3,0.38736965477466584,0.10091855557954042,-0.09162263146606309,0.3646099256079421,-0.08727272727272728,0.38791543061647105,2026-07-29T02:06:57.307059Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,4,0.3999748766422272,0.10091855557954042,0.07084179076821595,0.4836825209808323,0.08448844884488448,0.4032910933851276,2026-07-29T02:06:57.310303Z
