Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Stream_Count,Merge_At,Validation_Loss,Pseudo_Perplexity,Mask_Accuracy,Tokens_Processed,Tokens_Per_Second,GPU_Hours,Token_Marker,Band,Timestamp
stage2,VanillaBERT,tiny,256,42,17585466,17585466,12,0.0,,,9.81892603545282,18378.302493195417,0.0368763557483731,30901,23312.766495483345,0.00036819358666737874,25000,,2026-07-27T10:40:41.217194Z
stage2,VanillaBERT,tiny,256,42,17585466,17585466,12,0.0,,,9.778556509286876,17651.155176034837,0.0368763557483731,39002,23494.71046050632,0.0004611203405592177,,10.0,2026-07-27T10:40:41.633482Z
stage2,LoopedBERT,tiny,256,42,12847930,12847930,12,0.5,,,9.85654487527115,19082.841801139923,0.0368763557483731,30901,24327.86101860476,0.0003528304894765218,25000,,2026-07-27T10:40:44.011953Z
stage2,LoopedBERT,tiny,256,42,12847930,12847930,12,0.5,,,9.815069566838394,18307.56363520787,0.0368763557483731,39002,24530.782288545546,0.0004416446553336249,,10.0,2026-07-27T10:40:44.389503Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,,,9.864648649335683,19238.113131760263,0.0368763557483731,30901,24955.562823874727,0.00034395582146114776,25000,,2026-07-27T10:40:46.574018Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,,,9.822888421908894,18451.268895154088,0.0368763557483731,39002,24968.629317314622,0.0004339000251558092,,10.0,2026-07-27T10:40:46.934794Z
stage2,VanillaBERT6,tiny,256,42,12846906,12846906,6,0.0,,,9.816175349105206,18327.81901137816,0.03579175704989154,30901,38797.830543219134,0.00022123946083916558,25000,,2026-07-27T10:40:48.672924Z
stage2,VanillaBERT6,tiny,256,42,12846906,12846906,6,0.0,,,9.76869026233731,17477.860808380818,0.03579175704989154,39002,39037.33954101497,0.00027752631240420873,,10.0,2026-07-27T10:40:48.933333Z
