Architecture,Effect_Size,CI_Low,CI_High,Stereotype_Score,SS_CI_Low,SS_CI_High
Vanilla,0.07072037194996995,0.044514686547343515,0.09662317667183731,55.769230769230774,53.249336870026525,58.289124668435015
Looped,0.04705790993021506,0.021808156564489947,0.07236631058144923,55.37135278514589,52.851458885941646,57.89124668435013
ALBERT,0.05908521238619228,0.03350564227188265,0.08517753982953745,55.769230769230774,53.31399204244032,58.289124668435015
Hyperloop,0.0466059292089557,0.022198220497791413,0.0713191233139008,55.702917771883286,53.183023872679044,58.222811671087534
