Contrast,Dropped,Delta,Full_Delta,Pct_Change
Vanilla vs Looped,race-colour,0.011624684396210679,0.023662462019754887,-50.872887248564105
Vanilla vs Looped,socioeconomic,0.02550157446237241,0.023662462019754887,7.772278476694936
Vanilla vs Looped,gender,0.026759013195989372,0.023662462019754887,13.086343989265751
Vanilla vs Looped,disability,0.02132156038146623,0.023662462019754887,-9.892891265221378
Vanilla vs Looped,nationality,0.02159140345337965,0.023662462019754887,-8.752506669196938
Vanilla vs Looped,sexual-orientation,0.026649113970317554,0.023662462019754887,12.621898549987
Vanilla vs Looped,physical-appearance,0.02608892398029318,0.023662462019754887,10.254477993509433
Vanilla vs Looped,religion,0.025033431899102235,0.023662462019754887,5.793859819839446
Vanilla vs Looped,age,0.025159225806249935,0.023662462019754887,6.325477819026004
Vanilla vs Hyperloop,race-colour,0.01629704578514616,0.02411444274101426,-32.4179042403171
Vanilla vs Hyperloop,socioeconomic,0.027890437365490836,0.02411444274101426,15.658643515134186
Vanilla vs Hyperloop,gender,0.026702064181392392,0.02411444274101426,10.730587756759814
Vanilla vs Hyperloop,disability,0.023384330968208973,0.02411444274101426,-3.0276949819930956
Vanilla vs Hyperloop,nationality,0.025661014378364638,0.02411444274101426,6.413466211765042
Vanilla vs Hyperloop,sexual-orientation,0.021548213496469914,0.02411444274101426,-10.641876621845627
Vanilla vs Hyperloop,physical-appearance,0.025507702278917334,0.02411444274101426,5.777697427498061
Vanilla vs Hyperloop,religion,0.02470291433470798,0.02411444274101426,2.440328395782651
Vanilla vs Hyperloop,age,0.023602306302910513,0.02411444274101426,-2.1237747171022
Vanilla vs ALBERT,race-colour,0.014634954094074667,0.011635159563777682,25.78215205261025
Vanilla vs ALBERT,socioeconomic,0.01085948035113224,0.011635159563777682,-6.666683068621319
Vanilla vs ALBERT,gender,0.009774941156475637,0.011635159563777682,-15.987906286160742
Vanilla vs ALBERT,disability,0.006379836010624913,0.011635159563777682,-45.16761050285485
Vanilla vs ALBERT,nationality,0.009427104117975394,0.011635159563777682,-18.97744017775533
Vanilla vs ALBERT,sexual-orientation,0.014902536150227933,0.011635159563777682,28.081923316480985
Vanilla vs ALBERT,physical-appearance,0.015256153177455923,0.011635159563777682,31.121134126523177
Vanilla vs ALBERT,religion,0.01282944157263203,0.011635159563777682,10.26442312465023
Vanilla vs ALBERT,age,0.011217187010362955,0.011635159563777682,-3.5923233465224587
