Architecture,N_points,Spearman_rho,P,Dips
Vanilla,4,-0.7999999999999999,0.20000000000000007,1
Looped,5,0.3,0.6238376647810728,2
ALBERT,5,-0.8999999999999998,0.03738607346849874,1
Hyperloop,7,-0.7142857142857144,0.07134356146753759,1
