Band,Architecture,Val_Loss,Effect_Size
5.0,Vanilla,2.9965542893553856,0.039231773061699345
5.0,Looped,3.1406568550769194,0.04867869790378815
5.0,ALBERT,3.627382946055004,0.016821875215148642
5.0,Hyperloop,4.037003418332518,0.012353270710570883
4.0,Vanilla,2.9965542893553856,0.039231773061699345
4.0,Looped,3.1406568550769194,0.04867869790378815
4.0,ALBERT,3.627382946055004,0.016821875215148642
4.0,Hyperloop,3.7005346013211655,0.0281648543131935
3.4,Vanilla,2.9965542893553856,0.039231773061699345
3.4,Looped,3.1406568550769194,0.04867869790378815
3.4,ALBERT,2.9226088233580736,0.04526060986261125
3.4,Hyperloop,3.1084518075344563,0.04270916044529086
3.0,Vanilla,2.9965542893553856,0.039231773061699345
3.0,Looped,2.967567900507031,0.06145086292373349
3.0,ALBERT,2.9226088233580736,0.04526060986261125
3.0,Hyperloop,2.9707007868130595,0.046992779817286084
2.7,Vanilla,2.5866862060364992,0.056127521933374766
2.7,Looped,2.688212179782392,0.06537657939103837
2.7,ALBERT,2.647432264423005,0.04873964846249691
2.7,Hyperloop,2.658794095172127,0.048800974179107136
2.4,Vanilla,2.352965392027068,0.04972791352124427
2.4,Looped,2.395902057321288,0.05746264623014181
2.4,ALBERT,2.387730633121391,0.04713582742205622
2.4,Hyperloop,2.383310746882712,0.04461013843150762
2.2,Vanilla,2.183083686812373,0.07072037194996995
2.2,Looped,2.191694966556164,0.04705790993021506
2.2,ALBERT,2.1626932162840653,0.05908521238619228
2.2,Hyperloop,2.19633932426261,0.0466059292089557
