Contrast,Delta,CI_Low,CI_High,P_Raw,P_Holm,Sig
Vanilla vs Looped,-0.05186000835272443,-0.15208440924967423,0.04501947234468387,0.31016898310168983,0.9305069493050695,False
Vanilla vs ALBERT,-0.016324634735151958,-0.1286602996786479,0.09709428610717936,0.7746225377462254,0.9305069493050695,False
Vanilla vs Hyperloop,0.04877881411210385,-0.0625793292976195,0.1594584237030543,0.3945605439456054,0.9305069493050695,False
