model,term,coef,se,p,ci_low,ci_high
main effects,Intercept,0.04942479368716114,0.011791677255616065,2.7711841881138932e-05,0.026313530948833548,0.07253605642548874
main effects,C(arch)[T.Looped],0.004751048167391846,0.0034101120417624883,0.16355222148332615,-0.0019326486177089798,0.011434744952492672
main effects,C(arch)[T.ALBERT],-0.006510242472211644,0.004380171825372506,0.13720020392803026,-0.015095221496038824,0.002074736551615535
main effects,C(arch)[T.Hyperloop],-0.006572876943808953,0.004463939525978571,0.14090247134726103,-0.015322037643891753,0.0021762837562738467
main effects,loss_c,-0.018352976609997337,0.005477498072889677,0.0008063288438200213,-0.029088675558248657,-0.0076172776617460195
with interaction,Intercept,0.04613042130228909,0.012154839473857038,0.0001475061624708959,0.022307373695663515,0.06995346890891466
with interaction,C(arch)[T.Looped],0.010235768878174773,0.003675533056300329,0.0053554258670013575,0.003031856463839698,0.017439681292509848
with interaction,C(arch)[T.ALBERT],-0.0034357127288581293,0.004647929769720342,0.4597903883719029,-0.012545487680181546,0.005674062222465288
with interaction,C(arch)[T.Hyperloop],-0.0034474810798656823,0.004744840687176977,0.4674865468374567,-0.012747197939112838,0.005852235779381473
with interaction,loss_c,-0.03170844042430035,0.00966095707226504,0.0010302899273514016,-0.050643568342127354,-0.012773312506473344
with interaction,C(arch)[T.Looped]:loss_c,0.03532838989044952,0.008188543730101581,1.6006023606242648e-05,0.019279139093619148,0.051377640687279895
with interaction,C(arch)[T.ALBERT]:loss_c,0.005189299133289844,0.00890829951879149,0.5602137151561717,-0.012270647087036972,0.022649245353616662
with interaction,C(arch)[T.Hyperloop]:loss_c,0.014085744662564181,0.008866799036030779,0.11215206037007733,-0.003292862106210614,0.03146435143133898
