Architecture,Split,Accuracy,N,CI_Low,CI_High,Includes_Chance
VanillaBERT,Pro,0.4893048128342246,374,0.43888855121772397,0.539885896593449,True
VanillaBERT,Anti,0.5133689839572193,374,0.46277377668610303,0.5637581635766531,True
LoopedBERT,Pro,0.4946524064171123,374,0.4441863015748584,0.5452009223449754,True
LoopedBERT,Anti,0.5080213903743316,374,0.4574558705404854,0.55846329358867,True
ALBERTLoopedBERT,Pro,0.4973262032085561,374,0.44683733640228684,0.5478562755594077,True
ALBERTLoopedBERT,Anti,0.5053475935828877,374,0.45479907765502464,0.5558136984251416,True
HyperloopBERT,Pro,0.5026737967914439,374,0.45214372444059225,0.5531626635977132,True
HyperloopBERT,Anti,0.5,374,0.44948981071078364,0.5505101892892164,True
