Architecture,Shared_Ratio,Val_Loss,Effect_Size
Vanilla,0.0,2.183083686812373,0.07072037194996995
Looped,0.5,2.191694966556164,0.04705790993021506
Hyperloop,0.5,2.19633932426261,0.0466059292089557
ALBERT,0.9166666666666666,2.1626932162840653,0.05908521238619228
