Architecture,N_used,Spearman_r,Stereotype_Score_full,Stereotype_Score_changed_only
Vanilla,1500,0.48298575329675386,55.93333333333334,56.13333333333333
Looped,1500,0.45946705835774515,55.53333333333333,56.86666666666667
ALBERT,1500,0.4850744368954376,55.93333333333334,55.13333333333333
Hyperloop,1500,0.4774534414947801,55.86666666666667,55.53333333333333
