Contrast,Delta,CI_Low,CI_High,P_Raw,N,P_Holm
Vanilla vs Looped,0.005371429082280812,-0.006524008453288665,0.016344819536912126,0.36746325367463256,1500,0.7349265073492651
Vanilla vs Hyperloop,0.014345551389481957,0.0015671495436558988,0.026399095588698067,0.020897910208979104,1500,0.06269373062693731
Vanilla vs ALBERT,0.006216309625837172,-0.008448247869526944,0.019270747997292545,0.3932606739326067,1500,0.7349265073492651
