Contrast,Delta,CI_Low,CI_High,P_Raw,Cohens_d,SD_of_paired_diff,N,P_Holm,Significant
Vanilla vs Looped,0.023662462019754887,0.013409133469132617,0.033988274878961916,9.999000099990002e-05,0.11454959676861014,0.2065695793548099,1508,0.00029997000299970003,True
Vanilla vs Hyperloop,0.02411444274101426,0.011868210166467545,0.03668990686462854,9.999000099990002e-05,0.0977452790346841,0.2467069814436506,1508,0.00029997000299970003,True
Vanilla vs ALBERT,0.011635159563777682,-0.0008464868564596348,0.023953362415562268,0.06529347065293471,0.047105069595305395,0.24700440236558466,1508,0.06529347065293471,False
Looped vs Hyperloop,0.0004519807212593672,-0.01068443716334553,0.011773568691146407,0.9342065793420657,0.0020373554676454647,0.2218467657888455,1508,0.9342065793420657,False
